"CDB ID";"SHELF SET";ID;"USER ID";SKU;"SKU ID";"PRODUCT DESCRIPTION 1";"PRODUCT DESCRIPTION 2";"PRODUCT DESCRIPTION 3";"PRODUCT CATEGORY";BRAND;SUBBRAND;PURPOSE;CLIENT;"UNIT OF MEASUREMENT";CONSIDERATIONS;QUANTITY;PRICE;"MONEY SPENT";"PURCHASE NUMBER";SHELF;"SHELF OPENED";"TIME SPENT ON SHELF";"TIME SPENT ON SKU";"ADDED TO BASKET";"DELETED FROM BASKET";"ADDED TO CART";"REMOVED FROM CART";"FIRST BUY";"TIME BEFORE FIRST BUY";DEVICE;"TEST START";COORDINATES;"TIME BEFORE PURCHASE";"SESSION STATUS";KPI1;KPI2;KPI3;KPI4;KPI5;"TIME TO LOAD";"AD VIDEO OPEN";"AD VIDEO CLOSED";"AD VIDEO DURATION";"PRODUCT ZOOMED";"SHELF ORDER";"INSTR TIME"
;2022044_vs_cell1;0325neQJ;fu0tmft461cfrbqx;"KROGER KEURIG PREMIUM BLEND MEDIUM ROAST 48 PODS";wJZqaGBY;;;;Coffee;KROGER;;Non-target;;pack;1;1;14.99;14.9900;1;2022044_vs_cell1;1;84;5;0;0;1;0;20:31:36;80;Desktop;"2022-05-05 20:30:16";"x,y,width,height: 876,94,20.290087357955,20.44943359375";80;Completed;A18;2;;;;2;;;;0;2022044_vs_cell1;NULL
;2022044_vs_cell1;0325neQJ;fu0tmft461cfrbqx;"DUNKIN ORIGINAL BLEND MEDIUM ROAST 32 PODS";orE35qJY;;;;Coffee;"DUNKIN DONUTS ";;Non-target;;pack;1;NULL;23.99;NULL;NULL;2022044_vs_cell1;1;84;8;0;0;0;0;20:31:36;80;Desktop;"2022-05-05 20:30:16";"x,y,width,height: 584,389,19.440240767045,19.493356178977";NULL;Completed;F14;1;;;;2;;;;0;2022044_vs_cell1;NULL
;2022044_vs_cell1;0325neQJ;fu0tmft461cfrbqx;"MC CAFE DECAF PREMIUM ROAST 12 PODS";nrV9Wzy4;;;;Coffee;"MC CAFE";;Non-target;;pack;1;NULL;8.99;NULL;NULL;2022044_vs_cell1;1;84;3;0;0;0;0;20:31:36;80;Desktop;"2022-05-05 20:30:16";"x,y,width,height: 819,168,15.403469460227,9.93258203125";NULL;Completed;B14;2;;;;2;;;;0;2022044_vs_cell1;NULL
;2022044_vs_cell1;0325neQJ;fu0tmft461cfrbqx;"DUNKIN DONUTS HAZELNUT 10 PODS";QJvZn3J6;;;;Coffee;"DUNKIN DONUTS ";;Non-target;;pack;1;NULL;9.99;NULL;NULL;2022044_vs_cell1;1;84;4;0;0;0;0;20:31:36;80;Desktop;"2022-05-05 20:30:16";"x,y,width,height: 720,404,15.403469460227,9.9856974431818";NULL;Completed;F18;1;;;;2;;;;0;2022044_vs_cell1;NULL
;2022044_vs_cell1;0328GaLk;2c3u1ukd4h20pgwp;"FOLGERS CLASSIC ROAST 36 PODS";dy1zK8rD;;;;Coffee;FOLGERS;;Non-target;;pack;1;1;21.99;21.9900;1;2022044_vs_cell1;1;503;16;0;0;1;0;16:07:19;449;Desktop;"2022-05-02 15:59:50";"x,y,width,height: 773,450,19.493356178977,19.546471590909";449;Closed;G15;1;;;;2;;;;0;2022044_vs_cell1;NULL
;2022044_vs_cell1;0328GaLk;2c3u1ukd4h20pgwp;"NEWMANS OWN ORGANIC SPECIAL K CUP 32 PODS";2J5QxWJx;;;;Coffee;"NEWMANS OWN ORGANIC";;Non-target;;pack;1;NULL;21.99;NULL;NULL;2022044_vs_cell1;1;503;5;0;0;0;0;16:07:19;449;Desktop;"2022-05-02 15:59:50";"x,y,width,height: 461,94,19.918279474432,20.077625710227";NULL;Closed;A8;2;;;;2;;;;0;2022044_vs_cell1;NULL
;2022044_vs_cell1;032Ep4zJ;uqk5ztex035yn0px;"DUNKIN ORIGINAL BLEND MEDIUM ROAST 32 PODS";orE35qJY;;;;Coffee;"DUNKIN DONUTS ";;Non-target;;pack;1;1;23.99;23.9900;1;2022044_vs_cell1;1;72;3;0;0;1;0;19:22:58;67;Desktop;"2022-05-05 19:21:51";"x,y,width,height: 584,389,19.440240767045,19.493356178977";67;Completed;F14;1;;;;2;;;;0;2022044_vs_cell1;NULL
;2022044_vs_cell1;032Ep4zJ;uqk5ztex035yn0px;"GREEN MOUNTAIN BREAKFAST BLEND DECAF 12 PODS";VBPXoDBo;;;;Coffee;"GREEN MOUNTAIN";;Non-target;;pack;1;NULL;8.99;NULL;NULL;2022044_vs_cell1;1;72;7;0;0;0;0;19:22:58;67;Desktop;"2022-05-05 19:21:51";"x,y,width,height: 449,168,15.137892400568,9.93258203125";NULL;Completed;B7;2;;;;2;;;;0;2022044_vs_cell1;NULL
;2022044_vs_cell1;032R9B43;sychsxqgymyx6syx;"MC CAFE ICED FRENCH VANILLA LATTE 12 PODS";NJLXZYJR;;;;Coffee;"MC CAFE";;BOI;;pack;1;1;8.99;8.9900;6;2022044_vs_cell1;1;181;3;0;0;1;0;14:57:52;80;Desktop;"2022-05-06 14:56:32";"x,y,width,height: 808,345,15.031661576705,9.8263512073864";169;Completed;E21;1;;;;3;;;;0;2022044_vs_cell1;NULL
;2022044_vs_cell1;032R9B43;sychsxqgymyx6syx;"STARBUCKS BREAKFAST BLEND 32 PODS";gB257Ar5;;;;Coffee;STARBUCKS;;Non-target;;pack;1;1;23.99;23.9900;5;2022044_vs_cell1;1;181;3;0;0;1;0;14:57:52;80;Desktop;"2022-05-06 14:56:32";"x,y,width,height: 96,212,19.652702414773,19.705817826705";160;Completed;C1;2;;;;3;;;;0;2022044_vs_cell1;NULL
