"CDB ID";"SHELF SET";ID;"USER ID";SKU;"SKU ID";"PRODUCT DESCRIPTION 1";"PRODUCT DESCRIPTION 2";"PRODUCT DESCRIPTION 3";"PRODUCT CATEGORY";BRAND;SUBBRAND;PURPOSE;CLIENT;"UNIT OF MEASUREMENT";CONSIDERATIONS;QUANTITY;PRICE;"MONEY SPENT";"PURCHASE NUMBER";SHELF;"SHELF OPENED";"TIME SPENT ON SHELF";"TIME SPENT ON SKU";"ADDED TO BASKET";"DELETED FROM BASKET";"ADDED TO CART";"REMOVED FROM CART";"FIRST BUY";"TIME BEFORE FIRST BUY";DEVICE;"TEST START";COORDINATES;"TIME BEFORE PURCHASE";"SESSION STATUS";KPI1;KPI2;KPI3;KPI4;KPI5;"TIME TO LOAD";"AD VIDEO OPEN";"AD VIDEO CLOSED";"AD VIDEO DURATION";"PRODUCT ZOOMED";"SHELF ORDER";"INSTR TIME"
;2022044_vs_cell2;0320O64k;x66etzwcfuvg3sra;"DONUT SHOP DARK 32 PODS";br7g85r6;;;;Coffee;"DONUT SHOP";;Non-target;;pack;1;1;21.99;21.9900;1;2022044_vs_cell2;1;19;3;0;0;1;0;15:47:06;18;Desktop;"2022-05-02 15:46:48";"x,y,width,height: 612,154,19.971394886364,19.334009943182";18;Completed;B11;2;;;;2;;;;0;2022044_vs_cell2;NULL
;2022044_vs_cell2;0325XVZJ;yu2pfnawng5xx58s;"STARBUCKS COFFEE PIKE PLACE ROAST 10 PODS";dy1zX7rD;;;;Coffee;STARBUCKS;;Non-target;;pack;1;1;9.99;9.9900;3;2022044_vs_cell2;1;64;2;0;0;1;0;20:47:01;39;Desktop;"2022-05-05 20:46:22";"x,y,width,height: 263,227,15.1910078125,9.8794666193182";61;Completed;B2;2;;;;2;;;;0;2022044_vs_cell2;NULL
;2022044_vs_cell2;0325XVZJ;yu2pfnawng5xx58s;"GEVALIA SIGNATURE BLEND MILD 12 PODS";ABgwexB9;;;;Coffee;"GEVALIA ";;Non-target;;pack;1;1;8.99;8.9900;2;2022044_vs_cell2;1;64;2;0;0;1;0;20:47:01;39;Desktop;"2022-05-05 20:46:22";"x,y,width,height: 177,465,15.244123224432,9.9856974431818";47;Completed;G2;1;;;;2;;;;0;2022044_vs_cell2;NULL
;2022044_vs_cell2;0325XVZJ;yu2pfnawng5xx58s;"DUNKIN ORIGINAL BLEND MEDIUM ROAST 10 PODS";VBPX8zBo;;;;Coffee;"DUNKIN DONUTS ";;Non-target;;pack;1;1;9.99;9.9900;1;2022044_vs_cell2;1;64;2;0;0;1;0;20:47:01;39;Desktop;"2022-05-05 20:46:22";"x,y,width,height: 701,384,15.456584872159,9.93258203125";39;Completed;F15;1;;;;2;;;;0;2022044_vs_cell2;NULL
;2022044_vs_cell2;0325XVZJ;yu2pfnawng5xx58s;"DONUT SHOP DECAF 12 PODS";gB25wYr5;;;;Coffee;"DONUT SHOP";;Non-target;;pack;1;NULL;8.99;NULL;NULL;2022044_vs_cell2;1;64;3;0;0;0;0;20:47:01;39;Desktop;"2022-05-05 20:46:22";"x,y,width,height: 714,206,15.509700284091,10.145043678977";NULL;Completed;C14;1;;;;2;;;;0;2022044_vs_cell2;NULL
;2022044_vs_cell2;0327pexy;8s5p44y03388xapx;"GEVALIA CAPPUCCINO 12 PODS";xBlWv0rL;;;;Coffee;"GEVALIA ";;Non-target;;pack;1;1;8.99;8.9900;1;2022044_vs_cell2;2;0;2;0;0;1;0;15:30:46;32;Desktop;"2022-05-02 15:30:14";"x,y,width,height: 276,445,15.244123224432,9.93258203125";32;Completed;G5;1;;;;4;;;;0;2022044_vs_cell2;NULL
;2022044_vs_cell2;0328xnZk;ndyb9awhwgqycn4n;"EIGHT OCLOCK THE ORIGINAL MEDIUM ROAST COFFEE 32 PODS";4radEEyk;;;;Coffee;"EIGHT OCLOCK ";;Non-target;;pack;1;1;21.99;21.9900;3;2022044_vs_cell2;1;238;2;0;0;1;0;14:18:20;124;Desktop;"2022-05-06 14:16:16";"x,y,width,height: 881,450,19.812048650568,19.599587002841";159;Completed;G17;2;;;;2;;;;0;2022044_vs_cell2;NULL
;2022044_vs_cell2;0328xnZk;ndyb9awhwgqycn4n;"DONUT SHOP REGULAR MEDIUM ROAST 32 PODS";dy1zXVrD;;;;Coffee;"DONUT SHOP";;Non-target;;pack;1;1;21.99;21.9900;2;2022044_vs_cell2;1;238;2;0;0;1;0;14:18:20;124;Desktop;"2022-05-06 14:16:16";"x,y,width,height: 606,212,19.493356178977,19.705817826705";144;Completed;C11;1;;;;2;;;;0;2022044_vs_cell2;NULL
;2022044_vs_cell2;0328xnZk;ndyb9awhwgqycn4n;"GREEN MOUNTAIN BREAKFAST BLEND 32 PODS";ey3VQwJ2;;;;Coffee;"GREEN MOUNTAIN";;Non-target;;pack;1;1;21.99;21.9900;1;2022044_vs_cell2;1;238;3;0;0;1;0;14:18:20;124;Desktop;"2022-05-06 14:16:16";"x,y,width,height: 367,154,20.236971946023,19.334009943182";124;Completed;B5;2;;;;2;;;;0;2022044_vs_cell2;NULL
;2022044_vs_cell2;032Ej2ZJ;vun179cux0t7t5e3;"DONUT SHOP REGULAR MEDIUM ROAST 32 PODS";dy1zXVrD;;;;Coffee;"DONUT SHOP";;Non-target;;pack;1;1;21.99;21.9900;1;2022044_vs_cell2;1;72;4;0;0;1;0;15:18:55;52;Desktop;"2022-05-06 15:18:03";"x,y,width,height: 606,212,19.493356178977,19.705817826705";52;Completed;C11;1;;;;2;;;;0;2022044_vs_cell2;NULL
